"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s fue agregado a tus Favoritos exitosamente. Clic <a href=""%2$s"">aquí</a> para continuar comprando"
"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s fue agregado a tus Favoritos. Clic <a href=""%2$s"">aquí</a> para continuar comprando"
"Click <a href="%s">here</a> to continue shopping.","Por favor, intentá nuevamente más tarde. Si el problema persiste, contactate con nosotros <a href="%s">haciendo click aquí</a>"
"%s's Wishlist","Favoritos de %s"
"* Required Fields","* Campos requeridos"
"Add All to Cart","Agregar al pedido"
"Add to Cart","Agregar al carrito"
"Add to Wishlist","Agregar a Favoritos"
"Please Login First","Por favor, inice sesión"
"Added On","Agregado"
"Are You sure?","¿Está seguro(a)?"
"Are you sure you want to remove this product from your wishlist?","¿Confirma que querés eliminar el producto de sus Favoritos?"
"Are you sure you would like to remove this item from the wishlist?","¿Confirma que querés eliminar el artículo de sus Favoritos?"
"Back","Regresar"
"Can't save description %s","No es posible guardar la descripción %s"
"Cannot create wishlist","No es posible crear Favoritos"
"Cannot specify product","No es posible especificar producto"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Hacé clic en la casilla de verificación si querés agregar una liga a una fuente RSS a su Lista de Deseos"
"Comment","Comentario"
"Email Sender","Remitente"
"Email Template","Plantilla de Email"
"Email address can't be empty.","No puede dejar vacio el correo electrónico."
"Email addresses, separated by commas","Direcciones de correo, separadas por coma"
"Enabled","Habilitado"
"General Options","Opciones generales"
"Go to Wishlist","Ir a Mis Favoritos"
"Last Added Items","Últimos elementos agregados"
"Message","Mensaje"
"My Wishlist","Mis Favoritos"
"My Wishlist (%d item)","Mis Favoritos"
"My Wishlist <small>(%d)</small>","Mis Favoritos <small>(%d)</small>"
"My Wishlist (%d items)","Mis Favoritos"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Por favor escriba direcciones de correo electrónico válidas y separadas por coma. Ej. juanito@dominio.com,juanperez@dominio.com"
"Please, enter your comments...","Por favor, escriba sus comentarios..."
"Product","Producto"
"RSS Feed","Fuente RSS"
"RSS link to %s's wishlist","Liga al RSS de la Lista de Deseos de %s"
"Remove Item","Quitar Artículo"
"Share Wishlist","Compartir Favoritos"
"Share Your Wishlist","Comparta sus Favoritos"
"Share options","Opciones para compartir"
"Sharing Information","Información sobre compartidos"
"There was an error while adding item to wishlist.","Ocurrió un error mientras se agregaba el artículo a sus Favoritos."
"There was an error while adding item to wishlist: %s","Ocurrió un error mientras se agregaba el artículo a sus Favoritos: %s"
"There was an error while deleting item from wishlist.","Ocurrió un error al quitar el artículo a sus Favoritos."
"There was an error while deleting item from wishlist: %s","Ocurrió un error al eliminar el artículo a sus Favoritos: %s"
"This product(s) is currently out of stock:","No hay existencias de el(los) producto(s): "
"Update Wishlist","Actualizar Favoritos"
"View Product","Ver Producto"
"Wishlist","Favoritos"
"Wishlist Section","Sección de Favoritos"
"Wishlist Sharing","Compartiendo Favoritos"
"Wishlist is empty now.","Favoritos vacíos"
"%s has been moved to wishlist %s","%s ha sido movido a %s"
"You have no items in your wishlist.","No tiene artículos en sus Favoritos."
"You input not valid email address.","La dirección de correo electrónico no es válida."
"Your Wishlist was successfully shared","Sus Favoritos fueron compartidos exitosamente"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist - <a href=""%s"">%d Item(s)</a>"
"My Wishlist","Mis Favoritos"
"Your Wishlist has been shared.","Tus Favoritos se han compartido."
"Are you sure you want to remove this product from your wishlist?","¿Está seguro de querer remover este producto de Favoritos?"
"%1$s has been updated in your wishlist.","%1$s ha sido agregado a Favoritos."
"Please, enter your comments...","Por favor, ingrese su comentario..."
